Key,Text,Max length
Footer.Links.Blog,Blog,
Footer.Links.Reports,Reports,
Footer.Links.Contact,Contact Us,
Footer.Links.Probe,Install Probe,
Footer.Links.Explorer,Explorer,
Footer.Links.API,API,
Footer.Links.Tests,Test Docs,
Footer.Links.Contribute,Contribute,
Footer.Links.Donate,Donate,
Footer.Links.Partners,Partners,
Footer.Links.Run,Run OONI,
Footer.Links.DataPolicy,Data Policy,
Footer.Links.Legal,Legal,
Footer.Links.Sitemap,Sitemap,
Footer.Text.Copyright,© 2018 Open Observatory of Network Interference.,
Footer.Text.CCommons,Content available under a Creative Commons license.,
